"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"211","Male","18-44","NH White",">=College grad",0,0.00502440213648337,-Inf,0,-Inf,-Inf
"212","Male","18-44","NH Black","<HSG",0,0,-9999999,0,-9999999,-45714281.1428571
"213","Male","18-44","NH Black","HSG/GED",0.000195236235845373,0.00158514873136476,-2.09561437863931,2,2.86904015326303e-05,4.03557296283151e-05
"214","Male","18-44","NH Black","Some college/TS",9.76181179226865e-05,0.00672559374114364,-4.23926306815963,1,1.71136490760258e-28,3.77680531332984e-28
"215","Male","18-44","NH Black",">=College grad",9.76181179226865e-05,0.000615813176213646,-1.84239890150504,1,0.0261371712363906,0.0304141628932545
"216","Male","18-44","Other","<HSG",0,0.00123166487927766,-Inf,0,-Inf,-Inf
"217","Male","18-44","Other","HSG/GED",0.000488090589613432,0.000882149292778019,-0.592254613663002,5,0.179131514755846,0.194312151599562
"218","Male","18-44","Other","Some college/TS",9.76181179226865e-05,0.00143820732407754,-2.69143121219523,1,1.11526885987087e-05,1.58616015626079e-05
"219","Male","18-44","Other",">=College grad",0.000585708707536119,0,-8888888,6,-8888888,-37925922.1333333
"220","Male","45-64","Hispanic","<HSG",0.00683326825458805,0.0240493075877399,-1.2757896238726,70,5.65214326002761e-30,1.26925322330445e-29
"221","Male","45-64","Hispanic","HSG/GED",0.00702850449043342,0.00713898684554632,-0.015708187788948,72,0.894335322515108,0.894335322515108
"222","Male","45-64","Hispanic","Some college/TS",0.00761421319796954,0.0163956405481847,-0.775887008107198,78,2.58107735311643e-12,4.29062209349224e-12
"223","Male","45-64","Hispanic",">=College grad",0.00322139789144865,0.00229581501317387,0.339655630419785,33,0.0502998387537053,0.0574855300042346
"224","Male","45-64","NH White","<HSG",0.021183131589223,0.0122750397943837,0.554696983070392,217,2.6509723624611e-16,4.64828030678111e-16
"225","Male","45-64","NH White","HSG/GED",0.0577899258102304,0.0222671710704655,0.990709215316381,592,3.8461492137047e-131,1.40659171244058e-130
"226","Male","45-64","NH White","Some college/TS",0.0917610308473253,0.0441278453427433,0.783213358873644,940,7.50991624964153e-122,2.67019244431699e-121
"227","Male","45-64","NH White",">=College grad",0.0875634517766497,0.0586150968850117,0.43260494965587,897,1.04827662340538e-35,2.73835526114059e-35
"228","Male","45-64","NH Black","<HSG",0.00800468566966029,0.00772594341083754,0.035724091256272,82,0.747289672094177,0.759151412921068
"229","Male","45-64","NH Black","HSG/GED",0.018059351815697,0.0137444923941063,0.277410055765924,185,0.000176159231368746,0.000234878975158328
"230","Male","45-64","NH Black","Some college/TS",0.0221593127684498,0.0110585930209998,0.706338399313742,227,6.35033455177101e-27,1.37769969936727e-26
"231","Male","45-64","NH Black",">=College grad",0.0121046466224131,0.0057592632803209,0.749182426150274,124,2.11711957395292e-17,3.87130436379963e-17
"232","Male","45-64","Other","<HSG",0.00536899648574775,0.00759822690188182,-0.349517679937982,55,0.0093685694723774,0.0112072606772365
